Target,Group,PC,Variable,mean,std,CV
Textulariida,Sediment,PC1,Silt Content,-0.34408347776436554,0.045539771175836206,0.13235093841681828
Textulariida,Sediment,PC1,Skewness,-0.4109245449976159,0.03431894868123249,0.0835164243630947
Textulariida,Sediment,PC1,Sorting,0.47403955083189697,0.0021601401503151102,0.0045568774726164885
Textulariida,Sediment,PC2,Clay Content,0.6655177269781032,0.05127324100248113,0.07704263751965862
Textulariida,Sediment,PC2,Grain Size,-0.4213293264166852,0.06617489037725166,0.15706215121566494
Textulariida,Sediment,PC2,Kurtosis,-0.16234608640514242,0.0495344024395232,0.3051160858655239
Textulariida,Sediment,PC2,Sand Content,-0.42094542780662164,0.05914208166494313,0.14049821605881047
Textulariida,Sediment,PC2,Silt Content,-0.34735641209334683,0.10693854699594746,0.3078640361105795
Textulariida,Sediment,PC2,Skewness,-0.1637275732335087,0.09670848780466536,0.5906670812663879
Textulariida,Sediment,PC2,Sorting,-0.02172649217861192,0.036791679953164756,1.6934017535229808
Textulariida,Trace,PC1,As,-0.02906256946247914,0.08591396965753899,2.9561725355515147
Textulariida,Trace,PC1,Co,0.20629423632866445,0.13547329989525458,0.6566993935759836
Textulariida,Trace,PC1,Cr,-0.24949684264774152,0.25723779130148283,1.0310262389358993
Textulariida,Trace,PC1,Cu,0.36355893042038157,0.041289532465622863,0.11357039811367022
Textulariida,Trace,PC1,Ga,0.06170280610951924,0.13574832988361704,2.2000349488590665
Textulariida,Trace,PC1,Mn,0.36290239677407504,0.11502018004181029,0.31694522015906146
Textulariida,Trace,PC1,Ni,0.3717036193557761,0.13708604457749898,0.36880470740395743
Textulariida,Trace,PC1,Rb,-0.1675682108564952,0.04911328909133139,0.2930943097160107
Textulariida,Trace,PC1,Sc,0.0026220303740170036,0.17215693875350582,65.65787355459118
Textulariida,Trace,PC1,Ti,-0.22857400163084235,0.33151633099243005,1.4503676211078649
Textulariida,Trace,PC1,V,-0.20149621369346074,0.31046954159954127,1.5408207226755304
Textulariida,Trace,PC1,Zn,0.1741668108116082,0.1978468342005178,1.1359617442528913
Textulariida,Trace,PC2,As,0.03505951217724817,0.3642765052757154,10.39023313941351
Textulariida,Trace,PC2,Co,0.2875548155349952,0.21860369031791316,0.7602157171710076
Textulariida,Trace,PC2,Cr,0.04463939682260032,0.2649775176244182,5.9359564977424535
Textulariida,Trace,PC2,Cu,0.1893538036797387,0.11328963109826853,0.5982960410443067
Textulariida,Trace,PC2,Ga,0.052725335167169776,0.380677437996617,7.220009826199295
Textulariida,Trace,PC2,Mn,0.17208235651683074,0.1539859982772005,0.894838967771456
Textulariida,Trace,PC2,Ni,0.15594565134210658,0.16868955084735213,1.0817201338772093
Textulariida,Trace,PC2,Rb,0.011843322259664713,0.3392994901045951,28.64901272341134
Textulariida,Trace,PC2,Sc,0.15333276838809,0.19877200626921512,1.2963439476036653
Textulariida,Trace,PC2,Ti,0.09162793856367155,0.3040809493347028,3.3186488106288596
Textulariida,Trace,PC2,V,0.08052896436316438,0.29173578126689026,3.6227434883086147
Textulariida,Trace,PC2,Zn,0.25470549743523785,0.323761768282751,1.2711220273723052
reads,Major,PC1,Al2O3,0.48350222122709086,0.015343530037987116,0.03173414591363497
reads,Major,PC1,CaO,-0.12170705746067847,0.1837847974721139,1.5100586712606352
reads,Major,PC1,Fe2O3,0.45207178030680345,0.020755173448922703,0.045911234350520566
reads,Major,PC1,K2O,0.4829655391082836,0.008983720038672333,0.018601161596869403
reads,Major,PC1,MgO,0.3327452650369257,0.056028116007059856,0.16838140732323345
reads,Major,PC1,Na2O,0.23834963224736988,0.035685332056952485,0.14971842717137762
reads,Major,PC1,SiO2,-0.33785115253140424,0.03474812171176114,0.10285038677951884
reads,Major,PC2,Al2O3,-0.043999722807362654,0.049717607878812325,1.129952752122631
reads,Major,PC2,CaO,-0.26360364787562374,0.16943182899109605,0.6427522166576358
reads,Major,PC2,Fe2O3,-0.1080313466411291,0.0531607961071456,0.49208676703569404
reads,Major,PC2,K2O,-0.20726327965104555,0.07098374571167504,0.34248105033938153
reads,Major,PC2,MgO,-0.4586003807428988,0.06266625230621853,0.13664675158948586
reads,Major,PC2,Na2O,0.6378599353343286,0.018432935174180192,0.028898092125066194
reads,Major,PC2,SiO2,-0.4610351149695771,0.10935523996655223,0.23719503442545453
reads,Organic,PC1,C,0.5563309856650346,0.014293131920751115,0.025691777537188935
reads,Organic,PC1,Chlorophyll a,-0.20370396325484333,0.05890664094286856,0.2891776870790361
reads,Organic,PC1,Cl,-0.032737835116879645,0.08914846963227761,2.7231021634143615
reads,Organic,PC1,Depth,-0.13717046024894253,0.0807337406939122,0.5885650638438723
reads,Organic,PC1,N,0.5601678710592861,0.014713549504547048,0.026266321695179513
reads,Organic,PC1,P,-0.057168408276171735,0.047553209485249125,0.8318092267940526
reads,Organic,PC1,S1,0.5380896058053599,0.00857494238673355,0.015935900441524816
reads,Organic,PC1,S2,0.060782874398304876,0.05325619262758395,0.8761710128843326
reads,Organic,PC2,C,-0.05294836346963718,0.053274851612739205,1.00616616117492
reads,Organic,PC2,Chlorophyll a,0.2731190627446346,0.09162635811846706,0.33548137284045015
reads,Organic,PC2,Cl,0.5268785148013402,0.04071538660314677,0.07727661208295526
reads,Organic,PC2,Depth,-0.3482688741028537,0.08285169496425195,0.23789577859255803
reads,Organic,PC2,N,-0.08646292065344045,0.05343175226064421,0.6179730207681586
reads,Organic,PC2,P,-0.18064571342559277,0.11142287379862417,0.6168033090058281
reads,Organic,PC2,S1,0.09651958485997404,0.04634527167598013,0.48016443236070294
reads,Organic,PC2,S2,0.6661863981578312,0.030461076183849814,0.04572455437109218
reads,Sediment,PC1,Clay Content,0.08976427319258108,0.10719353033488908,1.1941669722531494
reads,Sediment,PC1,Grain Size,0.3771147516551391,0.034787178006350644,0.09224560390085866
reads,Sediment,PC1,Kurtosis,-0.45572756349977916,0.011858232942534321,0.026020442677349858
reads,Sediment,PC1,Sand Content,0.34067045396458234,0.03773121100440543,0.1107557481586828
reads,Sediment,PC1,Silt Content,-0.34408347776436554,0.045539771175836206,0.13235093841681828
reads,Sediment,PC1,Skewness,-0.4109245449976159,0.03431894868123249,0.0835164243630947
reads,Sediment,PC1,Sorting,0.47403955083189697,0.0021601401503151102,0.0045568774726164885
reads,Sediment,PC2,Clay Content,0.6655177269781032,0.05127324100248113,0.07704263751965862
reads,Sediment,PC2,Grain Size,-0.4213293264166852,0.06617489037725166,0.15706215121566494
reads,Sediment,PC2,Kurtosis,-0.16234608640514242,0.0495344024395232,0.3051160858655239
reads,Sediment,PC2,Sand Content,-0.42094542780662164,0.05914208166494313,0.14049821605881047
reads,Sediment,PC2,Silt Content,-0.34735641209334683,0.10693854699594746,0.3078640361105795
reads,Sediment,PC2,Skewness,-0.1637275732335087,0.09670848780466536,0.5906670812663879
reads,Sediment,PC2,Sorting,-0.02172649217861192,0.036791679953164756,1.6934017535229808
reads,Trace,PC1,As,-0.02906256946247914,0.08591396965753899,2.9561725355515147
reads,Trace,PC1,Co,0.20629423632866445,0.13547329989525458,0.6566993935759836
reads,Trace,PC1,Cr,-0.24949684264774152,0.25723779130148283,1.0310262389358993
reads,Trace,PC1,Cu,0.36355893042038157,0.041289532465622863,0.11357039811367022
reads,Trace,PC1,Ga,0.06170280610951924,0.13574832988361704,2.2000349488590665
reads,Trace,PC1,Mn,0.36290239677407504,0.11502018004181029,0.31694522015906146
reads,Trace,PC1,Ni,0.3717036193557761,0.13708604457749898,0.36880470740395743
reads,Trace,PC1,Rb,-0.1675682108564952,0.04911328909133139,0.2930943097160107
reads,Trace,PC1,Sc,0.0026220303740170036,0.17215693875350582,65.65787355459118
reads,Trace,PC1,Ti,-0.22857400163084235,0.33151633099243005,1.4503676211078649
reads,Trace,PC1,V,-0.20149621369346074,0.31046954159954127,1.5408207226755304
reads,Trace,PC1,Zn,0.1741668108116082,0.1978468342005178,1.1359617442528913
reads,Trace,PC2,As,0.03505951217724817,0.3642765052757154,10.39023313941351
reads,Trace,PC2,Co,0.2875548155349952,0.21860369031791316,0.7602157171710076
reads,Trace,PC2,Cr,0.04463939682260032,0.2649775176244182,5.9359564977424535
reads,Trace,PC2,Cu,0.1893538036797387,0.11328963109826853,0.5982960410443067
reads,Trace,PC2,Ga,0.052725335167169776,0.380677437996617,7.220009826199295
reads,Trace,PC2,Mn,0.17208235651683074,0.1539859982772005,0.894838967771456
reads,Trace,PC2,Ni,0.15594565134210658,0.16868955084735213,1.0817201338772093
reads,Trace,PC2,Rb,0.011843322259664713,0.3392994901045951,28.64901272341134
reads,Trace,PC2,Sc,0.15333276838809,0.19877200626921512,1.2963439476036653
reads,Trace,PC2,Ti,0.09162793856367155,0.3040809493347028,3.3186488106288596
reads,Trace,PC2,V,0.08052896436316438,0.29173578126689026,3.6227434883086147
reads,Trace,PC2,Zn,0.25470549743523785,0.323761768282751,1.2711220273723052
shannon,Major,PC1,Al2O3,0.48350222122709086,0.015343530037987116,0.03173414591363497
shannon,Major,PC1,CaO,-0.12170705746067847,0.1837847974721139,1.5100586712606352
shannon,Major,PC1,Fe2O3,0.45207178030680345,0.020755173448922703,0.045911234350520566
shannon,Major,PC1,K2O,0.4829655391082836,0.008983720038672333,0.018601161596869403
shannon,Major,PC1,MgO,0.3327452650369257,0.056028116007059856,0.16838140732323345
shannon,Major,PC1,Na2O,0.23834963224736988,0.035685332056952485,0.14971842717137762
shannon,Major,PC1,SiO2,-0.33785115253140424,0.03474812171176114,0.10285038677951884
shannon,Major,PC2,Al2O3,-0.043999722807362654,0.049717607878812325,1.129952752122631
shannon,Major,PC2,CaO,-0.26360364787562374,0.16943182899109605,0.6427522166576358
shannon,Major,PC2,Fe2O3,-0.1080313466411291,0.0531607961071456,0.49208676703569404
shannon,Major,PC2,K2O,-0.20726327965104555,0.07098374571167504,0.34248105033938153
shannon,Major,PC2,MgO,-0.4586003807428988,0.06266625230621853,0.13664675158948586
shannon,Major,PC2,Na2O,0.6378599353343286,0.018432935174180192,0.028898092125066194
shannon,Major,PC2,SiO2,-0.4610351149695771,0.10935523996655223,0.23719503442545453
shannon,Organic,PC1,C,0.5563309856650346,0.014293131920751115,0.025691777537188935
shannon,Organic,PC1,Chlorophyll a,-0.20370396325484333,0.05890664094286856,0.2891776870790361
shannon,Organic,PC1,Cl,-0.032737835116879645,0.08914846963227761,2.7231021634143615
shannon,Organic,PC1,Depth,-0.13717046024894253,0.0807337406939122,0.5885650638438723
shannon,Organic,PC1,N,0.5601678710592861,0.014713549504547048,0.026266321695179513
shannon,Organic,PC1,P,-0.057168408276171735,0.047553209485249125,0.8318092267940526
shannon,Organic,PC1,S1,0.5380896058053599,0.00857494238673355,0.015935900441524816
shannon,Organic,PC1,S2,0.060782874398304876,0.05325619262758395,0.8761710128843326
shannon,Organic,PC2,C,-0.05294836346963718,0.053274851612739205,1.00616616117492
shannon,Organic,PC2,Chlorophyll a,0.2731190627446346,0.09162635811846706,0.33548137284045015
shannon,Organic,PC2,Cl,0.5268785148013402,0.04071538660314677,0.07727661208295526
shannon,Organic,PC2,Depth,-0.3482688741028537,0.08285169496425195,0.23789577859255803
shannon,Organic,PC2,N,-0.08646292065344045,0.05343175226064421,0.6179730207681586
shannon,Organic,PC2,P,-0.18064571342559277,0.11142287379862417,0.6168033090058281
shannon,Organic,PC2,S1,0.09651958485997404,0.04634527167598013,0.48016443236070294
shannon,Organic,PC2,S2,0.6661863981578312,0.030461076183849814,0.04572455437109218
shannon,Sediment,PC1,Clay Content,0.08976427319258108,0.10719353033488908,1.1941669722531494
shannon,Sediment,PC1,Grain Size,0.3771147516551391,0.034787178006350644,0.09224560390085866
shannon,Sediment,PC1,Kurtosis,-0.45572756349977916,0.011858232942534321,0.026020442677349858
shannon,Sediment,PC1,Sand Content,0.34067045396458234,0.03773121100440543,0.1107557481586828
shannon,Sediment,PC1,Silt Content,-0.34408347776436554,0.045539771175836206,0.13235093841681828
shannon,Sediment,PC1,Skewness,-0.4109245449976159,0.03431894868123249,0.0835164243630947
shannon,Sediment,PC1,Sorting,0.47403955083189697,0.0021601401503151102,0.0045568774726164885
shannon,Sediment,PC2,Clay Content,0.6655177269781032,0.05127324100248113,0.07704263751965862
shannon,Sediment,PC2,Grain Size,-0.4213293264166852,0.06617489037725166,0.15706215121566494
shannon,Sediment,PC2,Kurtosis,-0.16234608640514242,0.0495344024395232,0.3051160858655239
shannon,Sediment,PC2,Sand Content,-0.42094542780662164,0.05914208166494313,0.14049821605881047
shannon,Sediment,PC2,Silt Content,-0.34735641209334683,0.10693854699594746,0.3078640361105795
shannon,Sediment,PC2,Skewness,-0.1637275732335087,0.09670848780466536,0.5906670812663879
shannon,Sediment,PC2,Sorting,-0.02172649217861192,0.036791679953164756,1.6934017535229808
shannon,Trace,PC1,As,-0.02906256946247914,0.08591396965753899,2.9561725355515147
shannon,Trace,PC1,Co,0.20629423632866445,0.13547329989525458,0.6566993935759836
shannon,Trace,PC1,Cr,-0.24949684264774152,0.25723779130148283,1.0310262389358993
shannon,Trace,PC1,Cu,0.36355893042038157,0.041289532465622863,0.11357039811367022
shannon,Trace,PC1,Ga,0.06170280610951924,0.13574832988361704,2.2000349488590665
shannon,Trace,PC1,Mn,0.36290239677407504,0.11502018004181029,0.31694522015906146
shannon,Trace,PC1,Ni,0.3717036193557761,0.13708604457749898,0.36880470740395743
shannon,Trace,PC1,Rb,-0.1675682108564952,0.04911328909133139,0.2930943097160107
shannon,Trace,PC1,Sc,0.0026220303740170036,0.17215693875350582,65.65787355459118
shannon,Trace,PC1,Ti,-0.22857400163084235,0.33151633099243005,1.4503676211078649
shannon,Trace,PC1,V,-0.20149621369346074,0.31046954159954127,1.5408207226755304
shannon,Trace,PC1,Zn,0.1741668108116082,0.1978468342005178,1.1359617442528913
shannon,Trace,PC2,As,0.03505951217724817,0.3642765052757154,10.39023313941351
shannon,Trace,PC2,Co,0.2875548155349952,0.21860369031791316,0.7602157171710076
shannon,Trace,PC2,Cr,0.04463939682260032,0.2649775176244182,5.9359564977424535
shannon,Trace,PC2,Cu,0.1893538036797387,0.11328963109826853,0.5982960410443067
shannon,Trace,PC2,Ga,0.052725335167169776,0.380677437996617,7.220009826199295
shannon,Trace,PC2,Mn,0.17208235651683074,0.1539859982772005,0.894838967771456
shannon,Trace,PC2,Ni,0.15594565134210658,0.16868955084735213,1.0817201338772093
shannon,Trace,PC2,Rb,0.011843322259664713,0.3392994901045951,28.64901272341134
shannon,Trace,PC2,Sc,0.15333276838809,0.19877200626921512,1.2963439476036653
shannon,Trace,PC2,Ti,0.09162793856367155,0.3040809493347028,3.3186488106288596
shannon,Trace,PC2,V,0.08052896436316438,0.29173578126689026,3.6227434883086147
shannon,Trace,PC2,Zn,0.25470549743523785,0.323761768282751,1.2711220273723052
simpson,Major,PC1,Al2O3,0.48350222122709086,0.015343530037987116,0.03173414591363497
simpson,Major,PC1,CaO,-0.12170705746067847,0.1837847974721139,1.5100586712606352
simpson,Major,PC1,Fe2O3,0.45207178030680345,0.020755173448922703,0.045911234350520566
simpson,Major,PC1,K2O,0.4829655391082836,0.008983720038672333,0.018601161596869403
simpson,Major,PC1,MgO,0.3327452650369257,0.056028116007059856,0.16838140732323345
simpson,Major,PC1,Na2O,0.23834963224736988,0.035685332056952485,0.14971842717137762
simpson,Major,PC1,SiO2,-0.33785115253140424,0.03474812171176114,0.10285038677951884
simpson,Major,PC2,Al2O3,-0.043999722807362654,0.049717607878812325,1.129952752122631
simpson,Major,PC2,CaO,-0.26360364787562374,0.16943182899109605,0.6427522166576358
simpson,Major,PC2,Fe2O3,-0.1080313466411291,0.0531607961071456,0.49208676703569404
simpson,Major,PC2,K2O,-0.20726327965104555,0.07098374571167504,0.34248105033938153
simpson,Major,PC2,MgO,-0.4586003807428988,0.06266625230621853,0.13664675158948586
simpson,Major,PC2,Na2O,0.6378599353343286,0.018432935174180192,0.028898092125066194
simpson,Major,PC2,SiO2,-0.4610351149695771,0.10935523996655223,0.23719503442545453
simpson,Organic,PC1,C,0.5563309856650346,0.014293131920751115,0.025691777537188935
simpson,Organic,PC1,Chlorophyll a,-0.20370396325484333,0.05890664094286856,0.2891776870790361
simpson,Organic,PC1,Cl,-0.032737835116879645,0.08914846963227761,2.7231021634143615
simpson,Organic,PC1,Depth,-0.13717046024894253,0.0807337406939122,0.5885650638438723
simpson,Organic,PC1,N,0.5601678710592861,0.014713549504547048,0.026266321695179513
simpson,Organic,PC1,P,-0.057168408276171735,0.047553209485249125,0.8318092267940526
simpson,Organic,PC1,S1,0.5380896058053599,0.00857494238673355,0.015935900441524816
simpson,Organic,PC1,S2,0.060782874398304876,0.05325619262758395,0.8761710128843326
simpson,Organic,PC2,C,-0.05294836346963718,0.053274851612739205,1.00616616117492
simpson,Organic,PC2,Chlorophyll a,0.2731190627446346,0.09162635811846706,0.33548137284045015
simpson,Organic,PC2,Cl,0.5268785148013402,0.04071538660314677,0.07727661208295526
simpson,Organic,PC2,Depth,-0.3482688741028537,0.08285169496425195,0.23789577859255803
simpson,Organic,PC2,N,-0.08646292065344045,0.05343175226064421,0.6179730207681586
simpson,Organic,PC2,P,-0.18064571342559277,0.11142287379862417,0.6168033090058281
simpson,Organic,PC2,S1,0.09651958485997404,0.04634527167598013,0.48016443236070294
simpson,Organic,PC2,S2,0.6661863981578312,0.030461076183849814,0.04572455437109218
simpson,Sediment,PC1,Clay Content,0.08976427319258108,0.10719353033488908,1.1941669722531494
simpson,Sediment,PC1,Grain Size,0.3771147516551391,0.034787178006350644,0.09224560390085866
simpson,Sediment,PC1,Kurtosis,-0.45572756349977916,0.011858232942534321,0.026020442677349858
simpson,Sediment,PC1,Sand Content,0.34067045396458234,0.03773121100440543,0.1107557481586828
simpson,Sediment,PC1,Silt Content,-0.34408347776436554,0.045539771175836206,0.13235093841681828
simpson,Sediment,PC1,Skewness,-0.4109245449976159,0.03431894868123249,0.0835164243630947
simpson,Sediment,PC1,Sorting,0.47403955083189697,0.0021601401503151102,0.0045568774726164885
simpson,Sediment,PC2,Clay Content,0.6655177269781032,0.05127324100248113,0.07704263751965862
simpson,Sediment,PC2,Grain Size,-0.4213293264166852,0.06617489037725166,0.15706215121566494
simpson,Sediment,PC2,Kurtosis,-0.16234608640514242,0.0495344024395232,0.3051160858655239
simpson,Sediment,PC2,Sand Content,-0.42094542780662164,0.05914208166494313,0.14049821605881047
simpson,Sediment,PC2,Silt Content,-0.34735641209334683,0.10693854699594746,0.3078640361105795
simpson,Sediment,PC2,Skewness,-0.1637275732335087,0.09670848780466536,0.5906670812663879
simpson,Sediment,PC2,Sorting,-0.02172649217861192,0.036791679953164756,1.6934017535229808
simpson,Trace,PC1,As,-0.02906256946247914,0.08591396965753899,2.9561725355515147
simpson,Trace,PC1,Co,0.20629423632866445,0.13547329989525458,0.6566993935759836
simpson,Trace,PC1,Cr,-0.24949684264774152,0.25723779130148283,1.0310262389358993
simpson,Trace,PC1,Cu,0.36355893042038157,0.041289532465622863,0.11357039811367022
simpson,Trace,PC1,Ga,0.06170280610951924,0.13574832988361704,2.2000349488590665
simpson,Trace,PC1,Mn,0.36290239677407504,0.11502018004181029,0.31694522015906146
simpson,Trace,PC1,Ni,0.3717036193557761,0.13708604457749898,0.36880470740395743
simpson,Trace,PC1,Rb,-0.1675682108564952,0.04911328909133139,0.2930943097160107
simpson,Trace,PC1,Sc,0.0026220303740170036,0.17215693875350582,65.65787355459118
simpson,Trace,PC1,Ti,-0.22857400163084235,0.33151633099243005,1.4503676211078649
simpson,Trace,PC1,V,-0.20149621369346074,0.31046954159954127,1.5408207226755304
simpson,Trace,PC1,Zn,0.1741668108116082,0.1978468342005178,1.1359617442528913
simpson,Trace,PC2,As,0.03505951217724817,0.3642765052757154,10.39023313941351
simpson,Trace,PC2,Co,0.2875548155349952,0.21860369031791316,0.7602157171710076
simpson,Trace,PC2,Cr,0.04463939682260032,0.2649775176244182,5.9359564977424535
simpson,Trace,PC2,Cu,0.1893538036797387,0.11328963109826853,0.5982960410443067
simpson,Trace,PC2,Ga,0.052725335167169776,0.380677437996617,7.220009826199295
simpson,Trace,PC2,Mn,0.17208235651683074,0.1539859982772005,0.894838967771456
simpson,Trace,PC2,Ni,0.15594565134210658,0.16868955084735213,1.0817201338772093
simpson,Trace,PC2,Rb,0.011843322259664713,0.3392994901045951,28.64901272341134
simpson,Trace,PC2,Sc,0.15333276838809,0.19877200626921512,1.2963439476036653
simpson,Trace,PC2,Ti,0.09162793856367155,0.3040809493347028,3.3186488106288596
simpson,Trace,PC2,V,0.08052896436316438,0.29173578126689026,3.6227434883086147
simpson,Trace,PC2,Zn,0.25470549743523785,0.323761768282751,1.2711220273723052
zotu,Major,PC1,Al2O3,0.48350222122709086,0.015343530037987116,0.03173414591363497
zotu,Major,PC1,CaO,-0.12170705746067847,0.1837847974721139,1.5100586712606352
zotu,Major,PC1,Fe2O3,0.45207178030680345,0.020755173448922703,0.045911234350520566
zotu,Major,PC1,K2O,0.4829655391082836,0.008983720038672333,0.018601161596869403
zotu,Major,PC1,MgO,0.3327452650369257,0.056028116007059856,0.16838140732323345
zotu,Major,PC1,Na2O,0.23834963224736988,0.035685332056952485,0.14971842717137762
zotu,Major,PC1,SiO2,-0.33785115253140424,0.03474812171176114,0.10285038677951884
zotu,Major,PC2,Al2O3,-0.043999722807362654,0.049717607878812325,1.129952752122631
zotu,Major,PC2,CaO,-0.26360364787562374,0.16943182899109605,0.6427522166576358
zotu,Major,PC2,Fe2O3,-0.1080313466411291,0.0531607961071456,0.49208676703569404
zotu,Major,PC2,K2O,-0.20726327965104555,0.07098374571167504,0.34248105033938153
zotu,Major,PC2,MgO,-0.4586003807428988,0.06266625230621853,0.13664675158948586
zotu,Major,PC2,Na2O,0.6378599353343286,0.018432935174180192,0.028898092125066194
zotu,Major,PC2,SiO2,-0.4610351149695771,0.10935523996655223,0.23719503442545453
zotu,Organic,PC1,C,0.5563309856650346,0.014293131920751115,0.025691777537188935
zotu,Organic,PC1,Chlorophyll a,-0.20370396325484333,0.05890664094286856,0.2891776870790361
zotu,Organic,PC1,Cl,-0.032737835116879645,0.08914846963227761,2.7231021634143615
zotu,Organic,PC1,Depth,-0.13717046024894253,0.0807337406939122,0.5885650638438723
zotu,Organic,PC1,N,0.5601678710592861,0.014713549504547048,0.026266321695179513
zotu,Organic,PC1,P,-0.057168408276171735,0.047553209485249125,0.8318092267940526
zotu,Organic,PC1,S1,0.5380896058053599,0.00857494238673355,0.015935900441524816
zotu,Organic,PC1,S2,0.060782874398304876,0.05325619262758395,0.8761710128843326
zotu,Organic,PC2,C,-0.05294836346963718,0.053274851612739205,1.00616616117492
zotu,Organic,PC2,Chlorophyll a,0.2731190627446346,0.09162635811846706,0.33548137284045015
zotu,Organic,PC2,Cl,0.5268785148013402,0.04071538660314677,0.07727661208295526
zotu,Organic,PC2,Depth,-0.3482688741028537,0.08285169496425195,0.23789577859255803
zotu,Organic,PC2,N,-0.08646292065344045,0.05343175226064421,0.6179730207681586
zotu,Organic,PC2,P,-0.18064571342559277,0.11142287379862417,0.6168033090058281
zotu,Organic,PC2,S1,0.09651958485997404,0.04634527167598013,0.48016443236070294
zotu,Organic,PC2,S2,0.6661863981578312,0.030461076183849814,0.04572455437109218
zotu,Sediment,PC1,Clay Content,0.08976427319258108,0.10719353033488908,1.1941669722531494
zotu,Sediment,PC1,Grain Size,0.3771147516551391,0.034787178006350644,0.09224560390085866
zotu,Sediment,PC1,Kurtosis,-0.45572756349977916,0.011858232942534321,0.026020442677349858
zotu,Sediment,PC1,Sand Content,0.34067045396458234,0.03773121100440543,0.1107557481586828
zotu,Sediment,PC1,Silt Content,-0.34408347776436554,0.045539771175836206,0.13235093841681828
zotu,Sediment,PC1,Skewness,-0.4109245449976159,0.03431894868123249,0.0835164243630947
zotu,Sediment,PC1,Sorting,0.47403955083189697,0.0021601401503151102,0.0045568774726164885
zotu,Sediment,PC2,Clay Content,0.6655177269781032,0.05127324100248113,0.07704263751965862
zotu,Sediment,PC2,Grain Size,-0.4213293264166852,0.06617489037725166,0.15706215121566494
zotu,Sediment,PC2,Kurtosis,-0.16234608640514242,0.0495344024395232,0.3051160858655239
zotu,Sediment,PC2,Sand Content,-0.42094542780662164,0.05914208166494313,0.14049821605881047
zotu,Sediment,PC2,Silt Content,-0.34735641209334683,0.10693854699594746,0.3078640361105795
zotu,Sediment,PC2,Skewness,-0.1637275732335087,0.09670848780466536,0.5906670812663879
zotu,Sediment,PC2,Sorting,-0.02172649217861192,0.036791679953164756,1.6934017535229808
zotu,Trace,PC1,As,-0.02906256946247914,0.08591396965753899,2.9561725355515147
zotu,Trace,PC1,Co,0.20629423632866445,0.13547329989525458,0.6566993935759836
zotu,Trace,PC1,Cr,-0.24949684264774152,0.25723779130148283,1.0310262389358993
zotu,Trace,PC1,Cu,0.36355893042038157,0.041289532465622863,0.11357039811367022
zotu,Trace,PC1,Ga,0.06170280610951924,0.13574832988361704,2.2000349488590665
zotu,Trace,PC1,Mn,0.36290239677407504,0.11502018004181029,0.31694522015906146
zotu,Trace,PC1,Ni,0.3717036193557761,0.13708604457749898,0.36880470740395743
zotu,Trace,PC1,Rb,-0.1675682108564952,0.04911328909133139,0.2930943097160107
zotu,Trace,PC1,Sc,0.0026220303740170036,0.17215693875350582,65.65787355459118
zotu,Trace,PC1,Ti,-0.22857400163084235,0.33151633099243005,1.4503676211078649
zotu,Trace,PC1,V,-0.20149621369346074,0.31046954159954127,1.5408207226755304
zotu,Trace,PC1,Zn,0.1741668108116082,0.1978468342005178,1.1359617442528913
zotu,Trace,PC2,As,0.03505951217724817,0.3642765052757154,10.39023313941351
zotu,Trace,PC2,Co,0.2875548155349952,0.21860369031791316,0.7602157171710076
zotu,Trace,PC2,Cr,0.04463939682260032,0.2649775176244182,5.9359564977424535
zotu,Trace,PC2,Cu,0.1893538036797387,0.11328963109826853,0.5982960410443067
zotu,Trace,PC2,Ga,0.052725335167169776,0.380677437996617,7.220009826199295
zotu,Trace,PC2,Mn,0.17208235651683074,0.1539859982772005,0.894838967771456
zotu,Trace,PC2,Ni,0.15594565134210658,0.16868955084735213,1.0817201338772093
zotu,Trace,PC2,Rb,0.011843322259664713,0.3392994901045951,28.64901272341134
zotu,Trace,PC2,Sc,0.15333276838809,0.19877200626921512,1.2963439476036653
zotu,Trace,PC2,Ti,0.09162793856367155,0.3040809493347028,3.3186488106288596
zotu,Trace,PC2,V,0.08052896436316438,0.29173578126689026,3.6227434883086147
zotu,Trace,PC2,Zn,0.25470549743523785,0.323761768282751,1.2711220273723052
